ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
54065	Homo sapiens	GSM1669121	T47D	Epithelium	Mammary Gland	PR	54065_sort_peaks.narrowPeak.bed
54066	Homo sapiens	GSM1669122	T47D	Epithelium	Mammary Gland	PR	54066_sort_peaks.narrowPeak.bed
54067	Homo sapiens	GSM1669123	T47D	Epithelium	Mammary Gland	PR	54067_sort_peaks.narrowPeak.bed
54068	Homo sapiens	GSM1669124	T47D	Epithelium	Mammary Gland	PR	54068_sort_peaks.narrowPeak.bed
54069	Homo sapiens	GSM1669125	T47D	Epithelium	Mammary Gland	PR	54069_sort_peaks.narrowPeak.bed
54076	Homo sapiens	GSM1669132	MCF-7	Epithelium	Breast	ESR1	54076_sort_peaks.narrowPeak.bed
54077	Homo sapiens	GSM1669133	MCF-7	Epithelium	Breast	ESR1	54077_sort_peaks.narrowPeak.bed
54078	Homo sapiens	GSM1669134	MCF-7	Epithelium	Breast	ESR1	54078_sort_peaks.narrowPeak.bed
54079	Homo sapiens	GSM1669135	MCF-7	Epithelium	Breast	ESR1	54079_sort_peaks.narrowPeak.bed
54080	Homo sapiens	GSM1669136	MCF-7	Epithelium	Breast	ESR1	54080_sort_peaks.narrowPeak.bed
54081	Homo sapiens	GSM1669137	MCF-7	Epithelium	Breast	ESR1	54081_sort_peaks.narrowPeak.bed
54082	Homo sapiens	GSM1669138	MCF-7	Epithelium	Breast	ESR1	54082_sort_peaks.narrowPeak.bed
54083	Homo sapiens	GSM1669139	MCF-7	Epithelium	Breast	ESR1	54083_sort_peaks.narrowPeak.bed
54084	Homo sapiens	GSM1669140	MCF-7	Epithelium	Breast	ESR1	54084_sort_peaks.narrowPeak.bed
54085	Homo sapiens	GSM1669141	MCF-7	Epithelium	Breast	ESR1	54085_sort_peaks.narrowPeak.bed
54086	Homo sapiens	GSM1669142	MCF-7	Epithelium	Breast	ESR1	54086_sort_peaks.narrowPeak.bed
54087	Homo sapiens	GSM1669143	MCF-7	Epithelium	Breast	ESR1	54087_sort_peaks.narrowPeak.bed
54088	Homo sapiens	GSM1669144	MCF-7	Epithelium	Breast	ESR1	54088_sort_peaks.narrowPeak.bed
54089	Homo sapiens	GSM1669145	MCF-7	Epithelium	Breast	ESR1	54089_sort_peaks.narrowPeak.bed
54090	Homo sapiens	GSM1669146	MCF-7	Epithelium	Breast	PR	54090_sort_peaks.narrowPeak.bed
54091	Homo sapiens	GSM1669147	MCF-7	Epithelium	Breast	PR	54091_sort_peaks.narrowPeak.bed
54092	Homo sapiens	GSM1669148	MCF-7	Epithelium	Breast	PR	54092_sort_peaks.narrowPeak.bed
54093	Homo sapiens	GSM1669149	MCF-7	Epithelium	Breast	PR	54093_sort_peaks.narrowPeak.bed
54094	Homo sapiens	GSM1669150	MCF-7	Epithelium	Breast	PR	54094_sort_peaks.narrowPeak.bed
54095	Homo sapiens	GSM1669151	MCF-7	Epithelium	Breast	PR	54095_sort_peaks.narrowPeak.bed
54096	Homo sapiens	GSM1669152	MCF-7	Epithelium	Breast	PR	54096_sort_peaks.narrowPeak.bed
54097	Homo sapiens	GSM1669153	MCF-7	Epithelium	Breast	PR	54097_sort_peaks.narrowPeak.bed
54098	Homo sapiens	GSM1669154	MCF-7	Epithelium	Breast	PR	54098_sort_peaks.narrowPeak.bed
54099	Homo sapiens	GSM1669155	MCF-7	Epithelium	Breast	PR	54099_sort_peaks.narrowPeak.bed
54100	Homo sapiens	GSM1669156	MCF-7	Epithelium	Breast	PR	54100_sort_peaks.narrowPeak.bed
54101	Homo sapiens	GSM1669157	MCF-7	Epithelium	Breast	PR	54101_sort_peaks.narrowPeak.bed
54102	Homo sapiens	GSM1669158	MCF-7	Epithelium	Breast	PR	54102_sort_peaks.narrowPeak.bed
54103	Homo sapiens	GSM1669159	MCF-7	Epithelium	Breast	PR	54103_sort_peaks.narrowPeak.bed
54104	Homo sapiens	GSM1678029	PC-3	Epithelium	Prostate	DAXX	54104_sort_peaks.narrowPeak.bed
54105	Homo sapiens	GSM1678030	PC-3	Epithelium	Prostate	DAXX	54105_sort_peaks.narrowPeak.bed
54106	Homo sapiens	GSM1678031	PC-3	Epithelium	Prostate	DNMT1	54106_sort_peaks.narrowPeak.bed
54107	Homo sapiens	GSM1678032	PC-3	Epithelium	Prostate	DNMT1	54107_sort_peaks.narrowPeak.bed
